Step,Normal Vehicles,Autonomous Vehicles(Particles),Vehicle Type,Fitness,Travel Time,Interaction Score,Interaction Information,Global Best Fitness,Global Best Position
34,7,,car,,285.0,0,,,
34,8,,car,,278.0,0,,,
34,,9,auto,0.0036900369003690036,271.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 95.22094443106936
",,
35,0,,car,,335.0,0,,,
35,1,,car,,331.0,0,,,
35,10,,car,,278.0,0,,,
35,11,,car,,268.0,0,,,
35,,12,auto,0.003952569169960474,253.0,0,,,
35,,2,auto,0.0030581039755351682,327.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 7.923022559024147
",,
35,3,,car,,323.0,0,,,
35,,5,auto,1.0032154340836013,311.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (6),
 distance: 21.1216329751958
Autonomous Vehicle 5 is too close to a Neighbor Normal Vehicle (3) in a different lane,
 distance: 6.87442210770961
Autonomous Vehicle 5 is blocked by Normal Vehicle 3,
 distance: 6.87442210770961
",,
35,6,,car,,305.0,0,,,
35,7,,car,,297.0,0,,,
35,8,,car,,290.0,0,,,
36,0,,car,,347.0,0,,,
36,1,,car,,343.0,0,,,
36,10,,car,,290.0,0,,,
36,11,,car,,280.0,0,,,
36,,12,auto,0.0037735849056603774,265.0,0,,,
36,,2,auto,0.0029498525073746312,339.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 3.562646294163983
",,
36,3,,car,,335.0,0,,,
36,,5,auto,1.0030959752321982,323.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (6),
 distance: 16.61944446606227
Autonomous Vehicle 5 is too close to a Neighbor Normal Vehicle (3) in a different lane,
 distance: 3.6347794995321787
Autonomous Vehicle 5 is blocked by Normal Vehicle 3,
 distance: 3.6347794995321787
",,
36,6,,car,,317.0,0,,,
36,7,,car,,309.0,0,,,
36,8,,car,,302.0,0,,,
37,0,,car,,358.0,0,,,
37,1,,car,,354.0,0,,,
37,10,,car,,301.0,0,,,
37,11,,car,,291.0,0,,,
37,,12,auto,0.0036231884057971015,276.0,0,,,
37,,2,auto,0.002857142857142857,350.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 0.8340939667093892
",,
37,3,,car,,346.0,0,,,
